,bTOP,bJUG,bMID,bADC,bSUP,rTOP,rJUG,rMID,rADC,rSUP,win
0,Fiora,Viego,Akali,Aphelios,Yuumi,Graves,XinZhao,Katarina,Ezreal,Karma,False
0,Gwen,Talon,Akshan,Yasuo,Rakan,Sett,Karthus,Tryndamere,Jinx,Thresh,False
0,Camille,Ekko,Qiyana,Ezreal,Rakan,Akali,XinZhao,Sylas,Vayne,Pyke,True
0,Jayce,LeeSin,Leblanc,Ezreal,Pyke,Graves,Talon,Lissandra,Jinx,Rakan,False
0,Jayce,LeeSin,Akali,Ezreal,Karma,Irelia,XinZhao,Sylas,Jinx,Thresh,False
0,Camille,XinZhao,Leblanc,Jhin,Thresh,Akali,Nidalee,Akshan,Samira,Rell,False
0,Jayce,Taliyah,Akshan,Ezreal,Karma,Graves,Talon,TwistedFate,Caitlyn,Bard,True
0,DrMundo,Graves,Viktor,Jinx,Lulu,Jayce,LeeSin,Ryze,Caitlyn,Lux,True
0,Kennen,Viego,Syndra,Jinx,Nami,Jayce,JarvanIV,Zoe,Ezreal,Lulu,True
0,Chogath,Nidalee,Qiyana,Jinx,Lulu,Jayce,Ekko,LeeSin,Jhin,Rakan,False
0,Kennen,LeeSin,Ryze,Draven,Pyke,Graves,Nidalee,Zoe,Ezreal,Leona,False
0,Viktor,Rengar,Zoe,Jhin,Karma,Yone,LeeSin,Syndra,Jinx,Lulu,False
0,Viktor,Poppy,Katarina,Aphelios,Braum,Camille,Graves,Akali,Jinx,Thresh,True
0,Gnar,Talon,TwistedFate,Jinx,Lulu,Renekton,XinZhao,Vex,Ezreal,Rakan,True
0,Jayce,Talon,Syndra,Jinx,Thresh,Graves,Viego,Viktor,Jhin,Leona,True
0,Gwen,LeeSin,Leblanc,Aphelios,Rakan,Jayce,Zac,Viktor,Jinx,Thresh,False
0,Gwen,LeeSin,Akali,Jinx,Lulu,Jayce,Viego,Viktor,Aphelios,Thresh,False
0,Jayce,Talon,Syndra,Jhin,Rakan,Tryndamere,Viego,Akali,Jinx,Lulu,False
0,Gwen,XinZhao,TwistedFate,Jhin,Galio,Jax,Ekko,Graves,Jinx,Thresh,False
0,Jax,Viego,Viktor,Ezreal,Rakan,Tryndamere,LeeSin,Ryze,Jhin,Yuumi,True
0,Sion,Ekko,Akshan,Caitlyn,Morgana,Jayce,XinZhao,Zoe,Jinx,Thresh,True
0,Gragas,Kayn,Vex,Jinx,Lulu,Quinn,Nidalee,Qiyana,Aphelios,Thresh,True
0,Zac,Kayn,Ryze,Aphelios,Thresh,Graves,XinZhao,Xerath,Jinx,Morgana,False
0,Kennen,Viego,Sett,Caitlyn,Lux,Sylas,Graves,Vayne,Aphelios,Blitzcrank,True
0,Renekton,Hecarim,Viktor,Xayah,Rakan,Irelia,Riven,Katarina,Jinx,Thresh,True
0,DrMundo,Graves,Syndra,Jinx,Lulu,Vayne,Viego,Ryze,Ezreal,Karma,False
0,Jayce,Olaf,Viktor,Xayah,Rakan,Tryndamere,Poppy,Cassiopeia,Jinx,Karma,False
0,Jayce,XinZhao,Ryze,Jhin,Rakan,Gragas,Talon,Sylas,Ezreal,Karma,False
0,Gragas,Viego,Ryze,Vayne,Lulu,Tryndamere,Nunu,Graves,Ziggs,Rakan,False
0,Renekton,Ekko,Talon,Caitlyn,Lulu,Gragas,Zed,TwistedFate,Jhin,Rakan,False
0,Camille,XinZhao,Vex,Jinx,Thresh,Gragas,Viego,Syndra,Aphelios,Blitzcrank,False
0,Jayce,Taliyah,Viktor,Jinx,Lulu,Malphite,Qiyana,Ryze,Ezreal,Rakan,False
0,Sett,Graves,Leblanc,Xayah,Rakan,Yone,Nidalee,Tryndamere,Ezreal,Zac,True
0,Camille,Qiyana,Leblanc,Ezreal,Karma,Kennen,Graves,Kassadin,Aphelios,Thresh,False
0,Jayce,Shaco,Lissandra,Jinx,Thresh,Viktor,LeeSin,Leblanc,Aphelios,Blitzcrank,True
0,Irelia,Olaf,Vex,Ezreal,Karma,Akali,XinZhao,Yone,Kalista,Nautilus,True
