,gameId
0,KR_5600709894
1,KR_5600717466
2,KR_5600597605
3,KR_5600643289
4,KR_5599498639
5,KR_5599467403
6,KR_5599434099
7,KR_5599450112
8,KR_5598992407
9,KR_5598966200
10,KR_5598890072
11,KR_5598517125
12,KR_5598162816
13,KR_5597859996
14,KR_5597382602
15,KR_5597340917
16,KR_5597294311
17,KR_5597261070
18,KR_5597144443
19,KR_5596118405
20,KR_5596115139
21,KR_5596097875
22,KR_5596013466
23,KR_5595958678
24,KR_5595944528
25,KR_5595643664
26,KR_5595518309
27,KR_5593217328
28,KR_5593181807
29,KR_5593029684
30,KR_5592759300
31,KR_5592802791
32,KR_5592671079
33,KR_5592575716
34,KR_5592560461
35,KR_5592521844
36,KR_5591336449
37,KR_5591266826
38,KR_5591332876
39,KR_5591320077
40,KR_5591187522
41,KR_5591231036
42,KR_5590072022
43,KR_5589158025
44,KR_5588170145
45,KR_5587471206
46,KR_5587406769
47,KR_5587307530
48,KR_5587249947
49,KR_5587201325
50,KR_5599175713
51,KR_5599183557
52,KR_5599125187
53,KR_5599162726
54,KR_5569105892
55,KR_5565384492
56,KR_5565353427
57,KR_5565381280
58,KR_5565247923
59,KR_5565234823
60,KR_5565143268
61,KR_5564998989
62,KR_5562527355
63,KR_5562428467
64,KR_5562339655
65,KR_5562310970
66,KR_5562214313
67,KR_5560590133
68,KR_5558506747
69,KR_5556393742
70,KR_5554737798
71,KR_5552974988
72,KR_5550444808
73,KR_5548445958
74,KR_5546500931
75,KR_5544733207
76,KR_5543186957
77,KR_5541701058
78,KR_5540267607
79,KR_5537443740
80,KR_5533247560
81,KR_5533271608
82,KR_5533123601
83,KR_5531155541
84,KR_5529891904
85,KR_5528583404
86,KR_5526671768
87,KR_5524381221
88,KR_5522962140
89,KR_5521260318
90,KR_5519608745
91,KR_5518096582
92,KR_5514512572
93,KR_5514435032
94,KR_5512228691
95,KR_5510931061
96,KR_5509378688
97,KR_5507974393
98,KR_5506151206
99,KR_5504240816
100,KR_5596752320
101,KR_5590033893
102,KR_5588360764
103,KR_5587423050
104,KR_5567416790
105,KR_5567128478
106,KR_5567025167
107,KR_5566861831
108,KR_5566621015
109,KR_5566474800
110,KR_5564732062
