,puuid
0,mMG1qoyZKIPDeeKqmPvdK4peOqUo5XK3PQFnO6Bx04misgq-CM4o9L0R7YQ0tjNPwRdZ8nAwTSwZ1g
1,fgMtrAoHelwXU3hsER5-2X2b4PHqBnJHMOGyiYDcX_BSti6rmQUjaQ1CYOfxfWlWziNYMtS5-WSrqw
2,san1rXuA0G8YBdzTLFmq6ArDV0MzLChgAnzLgpmQHaKxJDyoSd6yP58rYpZ36wPubsW770eAEOzgfQ
3,7tQZGJMqw6s2pemJgEAxR1U492x9-ONDOiuiYEPie7H04qR_mCxyzGdc2ZP2Ieb-fLYTnCswKpc5Qg
4,Qp6GwjnZj5GqVU7lo6x5vieXCO5hhkbxD0-xWfpcdPCsDwicL0p2xW3Do4NfvXtcS7rZ20fIydh7qw
5,3f4qAizDnBb_2L_e1PFwLHpK8MkO_3DXXSVPFdikzUtacDhgdqmzKYH3kqdHaP1lTWWcSYgbg0_eBQ
6,ZNSv7Eupfj7dsYXpvGEJaJkD9HFuP6HYTz3DGLL_owW5Cy_i58B-_8u5HkTPcsAWR-ZwUwMqigfeFg
7,WcK0NHuuHX0w4OwS0PuiGM-MVSe7NcIERDjrYOX3hU58GbjGZbE0UVPG0RER8xp4smhVleZpKxiPnQ
8,NSK7zr1Vk8J1ysF6tKbEH9R6OnzjjUxVExKrIbkFgBAv6eFjTCfhZGUY24lLEEMUx34XXKLjAl8vww
9,ONjNab6eL8bBYCBH4DgpVoZH2FcJk_JvguHBKFNH2FnU6dfzfkCz5P86VPijdUHcyCGpT9HHqnKD0w
10,6vzyRFlhbe3a3zTQ2njgUoDqCPrwHrQdJ7CpsaNmw8WyBvpCgqtJXxUciF30VVF5NgTK1efNafz1Bw
11,A6c1lQITGz91HPwRCnXnnXpsg6e-_dQCi6npwg3ZBHhrW4gSrsMYFv0MZbmY_1DmssK58O1vxfrJPQ
12,VhgD0tffp-iFK8nminBK0Adgy6dg-5bb8Vj-B1M23WqP4BzPaM7aV9w14DDOQLvBYAWesE7mheClXw
13,vX5n55nBvDckRU-fsS6xxbWFiPKQwrVMPimOEVp3Yg3roKd3Qa7B6VHwEBqhT_dl2xoBqxNi1ErCnA
14,pAx4_lnBq6mtvSg_8seXclrD5WCjLLP9fI8FF0NMmzWbNJTf2El9vq4hvCm_dh5laKvk9DhUM08rXQ
15,GiHtaA0og_EdiDTV_F4Mq53I555d6Ahkc3r5JoHUxKvQKkh-YJFJXnrzq_HYoYxHvoi8LYt_Dt8w6Q
16,lJTZPof1IlqWzjyinJka_SH-sNiglMYcVGEEilQezAO6u_TeD9LblLXS49DXpV1UtkObDNTGFXZ2WQ
17,Ci314RaxdTDaCBfzA4um5qBggTh8PtmDywoJUMX3vmlnr7qh98FECzE1YEReqMNpBfI4o7gNZWVmYA
18,VCXry96ve1sJMNZiZVxCCgtnrOmzt7o-3X4duuUNoro0T0f2QxUd-7_Uo-p9KsLtnsQqWV51jA0GOA
19,wmY-Jlf_FVJL6M3A-CTMqt9SyHzBB22bLv58Fapd6Ru8tGWH_esTiDyvUMPSI1ztDMXMn0dmkvKPCg
20,4qsKCJjEIz-i_TCB3gYXlyB6xTu116miIDxhMlAjV-_PkCX4pZ3XIzp3tk2gt2uVHkJ5B3w6SFRpfA
21,kDlWq97_BMpOO6IXr7YRMGu7Q4CVpq5I6kZMRU2IoP21QsPtXIyxSe0SD6azd78eL2zUtXhjtpedXQ
22,Uq_f4zem_pnoiu_vRqa-DK0yIhhtBB54guTYMB6kxMOejFAWgr6VWkfydZJn8iNjdfo5mCPrQzbN6A
23,eNvLwTJb5UybzzXBOfIm-p5uXoaCRkJHugvEn64msESNoHl8QcrQwcFugpHFIaM5cRAo9QMOn35PVQ
24,eMXcj8fbk73KCMXpt0KmHuCvdm2PpiX1Sx1ioGwqUgQ-ApF0KbRt0ap2EP2gdvt-tfi3y5lMw-6NWg
25,f0hzyLDw3nzTcRi9rupGyUcSzUaCYVlUVsIvWfcY9OPvs0EccS-BNQRiMFKoTTLptlgxukdCNMDvqw
26,tn0YGXptA5V2S_QaC-56KDfXc05G8tCXO5dapd8doGMobuh6GdPx_veHO_twL0PEP-tALCha6ADbNg
27,Nwau3GPN3FYph5zDW4y1HAgmNPKI_ynAo4NsZkf2cDsnoFXbEXGX0ra5TuaDcyYOEUVQyOXSiK1LKQ
28,-79cbxJap3JpMTpVVPGOh8wTTZWiGY2Y01D7rLCddvbEZAQ2Vt6P40XK749ujvbEAU0orrNSCH6iXA
29,N-Ue37elLxu6g6JasOa2_Gl1R_Zebj0ct5vEG1ICN3wfuQr5G0wcVYZVk5nVPJGJO0RUqHcHUbWtuw
30,NfKuM12KzBCPgss9ucM7PC7xFYFnUZy-YFkuXDSnwbx3OKxvKQM6kZ4ONvYuSWsDp1oeHImBM4fNNQ
